,,,,,,,,,,,,,
,PRODUTO,,,,METRO² / PEÇA,V A L O R,,PRODUTO,,,,METRO² / PEÇA,V A L O R
,,,,,,,,,,,,,
,MANTA SIMPLES 2MM,,,,M²,"R$ 4,84",,LINHA VITA: 19X130,,,,M²,"R$ 65,21"
,MANTA SIMPLES 1MM,,,,M²,"R$ 3,97",,LINHA NUOVA:180X1220 (CLICK),,,,M²,"R$ 130,82"
,MANTA LISA QUICK-STEP 2M,,,,M²,"R$ 7,97",,LINHA HOME: 94X94,,,,M²,"R$ 80,19"
,"MANTA VINYL COMFORT QUICK-STEP 1,15",,,,M²,"R$ 7,97",,"LINHA NOBILE: 2,5MM",,,,M²,"R$ 108,54"
,MANTA STANDARD QUICK-STEP,,,,M²,"R$ 7,97",,"LINHA STUDIO CITTA: 3MM ( 94X94X2,5)",,,,M²,
,,,,,M²,,,,,,,M²,
,MANTA LISA DURAFLOOR 2MM,,,,M²,"R$ 6,46",,,,,,M²,
,"MANTA REECICLADA DURAFLOOR 2,5",,,,M²,"R$ 7,61",,,,,,M²,
,MANTA LISA EUCAFLOOR 2,,,,M²,"R$ 7,94",,,,,,M²,
,MANTA UNISOUND,,,,M²,"R$ 43,84",,,,,,M²,
,MANTA SIMPLES GROSSA 4,,,,M²,"R$ 6,64",,,,,,M²,
,"MANTA DURASILENT BLACK PLACA 1,80",,,,M²,"R$ 52,34",,,,,,M²,
